"song","elements"
"You Are In Love","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Breakdown, Breakdown, Breakdown, Breakdown, Breakdown, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"New Romantics","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Breakdown, Breakdown, Breakdown, Breakdown, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"...Ready For It?","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Refrain, Refrain, Refrain, Refrain, Refrain, Refrain, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Refrain, Refrain, Refrain, Refrain, Refrain, Refrain, Refrain, Refrain"
"End Game","Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"I Did Something Bad","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus 1, Pre-Chorus 1, Pre-Chorus 1, Pre-Chorus 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus 2, Pre-Chorus 2, Pre-Chorus 2, Pre-Chorus 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Outro, Outro, Outro, Outro, Outro, Outro"
"Don't Blame Me","Chorus, Chorus, Chorus, Chorus, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus 2, Pre-Chorus 2, Pre-Chorus 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro"
"Delicate","Intro, Intro, Intro, Intro, Intro, Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Look What You Made Me Do","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"So It Goes...","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Refrain, Refrain, Refrain, Refrain, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Refrain, Refrain, Refrain, Refrain, Refrain, Refrain, Refrain, Refrain"
"Gorgeous","Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus 1, Pre-Chorus 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus 2, Pre-Chorus 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Getaway Car","Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"King Of My Heart","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus"
"Dancing With Our Hands Tied","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"Dress","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro"
"This Is Why We Can't Have Nice Things","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Call It What You Want","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"New Year's Day","Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"I Forgot That You Existed","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Cruel Summer","Intro, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus 2, Pre-Chorus 2, Pre-Chorus 2, Pre-Chorus 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Lover","Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"The Man","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro"
"The Archer","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro"
"I Think He Knows","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus"
"Miss Americana & The Heartbreak Prince","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus 2, Pre-Chorus 2, Pre-Chorus 2, Pre-Chorus 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Outro, Outro, Outro"
"Paper Rings","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"Cornelia Street","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Outro, Outro"
"Death By A Thousand Cuts","Intro, Intro, Intro, Intro, Intro, Intro, Intro, Intro, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Outro, Outro, Outro"
"London Boy","Intro, Intro, Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Soon You'll Get Better","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"False God","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro"
"You Need To Calm Down","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Afterglow","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus 1, Pre-Chorus 1, Pre-Chorus 1, Pre-Chorus 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus 2, Pre-Chorus 2, Pre-Chorus 2, Pre-Chorus 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"ME!","Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"It's Nice To Have A Friend","Intro, Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus"
"Daylight","Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Spoken Outro, Spoken Outro, Spoken Outro, Spoken Outro, Spoken Outro, Spoken Outro"
"the 1","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"cardigan","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Refrain, Refrain, Refrain, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Refrain, Refrain, Refrain, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Refrain, Refrain, Refrain"
"the last great american dynasty","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro"
"exile","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"my tears ricochet","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"mirrorball","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Outro, Outro, Outro"
"seven","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
